"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2023,"AL","Alabama","Limestone","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence",3,"","",2.6,3.4,"114,654","89,453",1083,"HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-86.9814538074536 34.8102607960627)"
2023,"AR","Arkansas","Poinsett","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence",12.6,"","",9.9,15.7,"22,397","16,955",5111,"PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-90.6631053050275 35.5740758449201)"
2022,"AR","Arkansas","Izard","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",27.1,"","",23,31.7,"14,169","11,629",5065,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-91.9133749044468 36.0947862703415)"
2023,"AR","Arkansas","Woodruff","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence",26.6,"","",22.5,30.6,"5,964","4,659",5147,"HLTHOUT","DEPRESSION","AgeAdjPrv","Depression","POINT (-91.2431471012526 35.1863222444477)"
2023,"CA","California","Alpine","BRFSS","Health Outcomes","Current asthma among adults","%","Age-adjusted prevalence",10.5,"","",9.2,11.8,"1,141","955",6003,"HLTHOUT","CASTHMA","AgeAdjPrv","Current Asthma","POINT (-119.820667930537 38.5974751291386)"
2023,"AZ","Arizona","Cochise","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence",13.7,"","",11.9,15.6,"124,640","99,219",4003,"HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-109.751384831901 31.8794588523568)"
2023,"AR","Arkansas","Saline","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence",17.1,"","",14.9,19.5,"129,574","99,649",5125,"HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress","POINT (-92.6765172938046 34.6466455813868)"
2023,"CA","California","Lake","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence",15,"","",12.2,18,"67,878","52,978",6033,"RISKBEH","BINGE","CrdPrv","Binge Drinking","POINT (-122.753413599125 39.0999886976907)"
2023,"CA","California","Riverside","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence",11.6,"","",9.6,13.7,"2,492,442","1,899,181",6065,"RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking","POINT (-115.994764890688 33.7437710409515)"
2023,"AK","Alaska","Haines","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence",17.3,"","",14.3,20.2,"2,070","1,718",2100,"HLTHSTAT","GHLTH","CrdPrv","General Health","POINT (-135.500167586106 59.119335495324)"
2023,"AL","Alabama","St. Clair","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence",17.4,"","",14.9,19.9,"95,552","74,442",1115,"HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress","POINT (-86.3145905166032 33.7153193943775)"
2023,"AZ","Arizona","Pinal","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence",20.6,"","",18,23.1,"484,239","380,282",4021,"HLTHOUT","DEPRESSION","AgeAdjPrv","Depression","POINT (-111.344793224721 32.9045145361574)"
2023,"AL","Alabama","Jackson","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",4.7,"","",4.1,5.4,"53,467","42,355",1071,"HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-85.9995052603961 34.7796392771775)"
2022,"AR","Arkansas","Drew","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Age-adjusted prevalence",72.1,"","",64.4,79.8,"16,945","13,230",5043,"PREVENT","MAMMOUSE","AgeAdjPrv","Mammography","POINT (-91.7196579038053 33.5894113647675)"
2023,"AR","Arkansas","Union","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Age-adjusted prevalence",62.8,"","",58.6,67.2,"37,397","28,421",5139,"PREVENT","BPMED","AgeAdjPrv","High Blood Pressure Medication","POINT (-92.5973698311478 33.1712847934414)"
2023,"AR","Arkansas","Montgomery","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Age-adjusted prevalence",35.4,"","",30.3,41.1,"8,620","7,004",5097,"SOCLNEED","LONELINESS","AgeAdjPrv","Loneliness","POINT (-93.6594929570876 34.5391664075576)"
2022,"AR","Arkansas","Independence","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",19.5,"","",16.3,22.8,"38,320","29,054",5063,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-91.5700112648911 35.741699805739)"
2023,"AL","Alabama","Barbour","BRFSS","Health Status","Frequent physical distress among adults","%","Age-adjusted prevalence",16.2,"","",14.3,18.4,"24,585","19,517",1005,"HLTHSTAT","PHLTH","AgeAdjPrv","Frequent Physical Distress","POINT (-85.3928136383141 31.8698172860413)"
2023,"AR","Arkansas","Cross","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence",9.1,"","",8,10.2,"16,420","12,527",5037,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-90.7714945147511 35.2958747021642)"
2023,"AK","Alaska","Wrangell","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",4.8,"","",4.3,5.3,"2,064","1,686",2275,"HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-132.033291099899 56.3275352874816)"
2023,"AL","Alabama","Covington","BRFSS","Disability","Independent living disability among adults","%","Age-adjusted prevalence",10.8,"","",9.2,12.7,"37,952","29,514",1039,"DISABLT","INDEPLIVE","AgeAdjPrv","Independent Living Disability","POINT (-86.451444907521 31.2486200676573)"
2023,"AK","Alaska","Prince of Wales-Hyder","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Age-adjusted prevalence",16.2,"","",13.4,19.4,"5,696","4,429",2198,"SOCLNEED","FOODSTAMP","AgeAdjPrv","Food Stamps","POINT (-133.055155796378 55.8173059571036)"
2023,"AZ","Arizona","Yuma","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Age-adjusted prevalence",6.1,"","",5.4,6.9,"213,221","161,189",4027,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-113.905997385394 32.7694427722845)"
2022,"AR","Arkansas","Chicot","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Age-adjusted prevalence",51.7,"","",46.3,56.8,"9,538","7,511",5017,"PREVENT","COLON_SCREEN","AgeAdjPrv","Colorectal Cancer Screening","POINT (-91.2933505574654 33.2667470395332)"
2023,"AR","Arkansas","Searcy","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence",13.7,"","",11.3,16.1,"7,806","6,215",5129,"HLTHOUT","COPD","CrdPrv","COPD","POINT (-92.6994901353755 35.9111264752522)"
2022,"AR","Arkansas","Cleburne","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",20,"","",16.6,23.8,"25,445","20,693",5023,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-92.0266618029566 35.5381671096059)"
2023,"AL","Alabama","Clarke","BRFSS","Disability","Any disability among adults","%","Crude prevalence",43,"","",38,48.4,"22,337","17,444",1025,"DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-87.8308687688628 31.6768474292414)"
2023,"AK","Alaska","Wrangell","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Age-adjusted prevalence",22.3,"","",18.3,26.8,"2,064","1,686",2275,"RISKBEH","LPA","AgeAdjPrv","Physical Inactivity","POINT (-132.033291099899 56.3275352874816)"
2023,"AR","Arkansas","Grant","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Age-adjusted prevalence",14.3,"","",11.2,17.5,"18,383","14,319",5053,"SOCLNEED","FOODINSECU","AgeAdjPrv","Food Insecurity","POINT (-92.4234453390766 34.290047947646)"
2023,"AL","Alabama","Covington","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence",12.9,"","",10.4,15.6,"37,952","29,514",1039,"RISKBEH","BINGE","CrdPrv","Binge Drinking","POINT (-86.451444907521 31.2486200676573)"
2023,"AR","Arkansas","Mississippi","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence",19.1,"","",15.9,22.2,"38,663","28,644",5093,"RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking","POINT (-90.0522615520211 35.7624152398424)"
2023,"AR","Arkansas","Stone","BRFSS","Disability","Vision disability among adults","%","Crude prevalence",7.8,"","",6.7,9.2,"12,671","10,181",5137,"DISABLT","VISION","CrdPrv","Vision Disability","POINT (-92.1570988831634 35.8596284960808)"
2023,"AR","Arkansas","Bradley","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence",17.6,"","",15.3,20,"10,104","7,612",5011,"HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-92.1624834155635 33.466623700772)"
2022,"CA","California","Lassen","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence",56.6,"","",52.9,60.4,"28,861","23,438",6035,"PREVENT","DENTAL","CrdPrv","Dental Visit","POINT (-120.594352001291 40.6734626858289)"
2022,"AR","Arkansas","Clay","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",20.2,"","",16.6,24.1,"14,201","11,154",5021,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-90.4170776785868 36.3683675945226)"
2023,"CA","California","Modoc","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence",17.6,"","",14.3,21.3,"8,500","6,906",6049,"SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps","POINT (-120.725180763953 41.5897153747434)"
2022,"AL","Alabama","Marshall","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Age-adjusted prevalence",72.9,"","",64.8,80.2,"100,756","74,538",1095,"PREVENT","MAMMOUSE","AgeAdjPrv","Mammography","POINT (-86.306202322979 34.3673847093536)"
2023,"CA","California","Alameda","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence",28.5,"","",25.3,31.3,"1,622,188","1,306,255",6001,"HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-121.888566503138 37.6463311425304)"
